,DIA,HORA,ALT (m)
265,07,22:56,0.5
266,07,05:38,1.1
267,08,10:24,0.4
268,08,18:06,1.1
269,08,22:53,0.6
270,09,06:04,1.0
271,09,10:51,0.5
272,09,18:54,1.0
273,09,22:54,0.7
274,09,01:19,0.7
275,10,02:58,0.7
276,10,06:41,0.9
277,10,13:54,0.6
278,10,15:11,0.6
279,10,19:58,0.9
280,11,01:15,0.8
281,11,07:30,0.8
282,11,13:06,0.7
283,11,16:53,0.5
284,11,01:17,0.9
285,12,05:54,0.7
286,12,09:38,0.8
287,12,11:09,0.8
288,12,17:58,0.4
289,13,01:24,1.0
290,13,06:45,0.6
291,13,12:39,0.9
292,13,18:47,0.3
293,13,01:38,1.1
294,14,07:21,0.5
295,14,13:04,1.0
296,14,19:26,0.2
297,15,01:56,1.2
298,15,07:56,0.4
299,15,13:34,1.2
300,15,20:04,0.1
301,15,02:17,1.3
302,16,08:24,0.3
303,16,14:02,1.3
304,16,20:39,0.0
305,17,02:45,1.3
306,17,08:56,0.2
307,17,14:34,1.4
308,17,21:15,0.0
309,17,03:08,1.3
310,18,09:26,0.2
311,18,15:04,1.4
312,18,21:53,0.0
313,19,03:36,1.3
314,19,10:00,0.2
315,19,15:38,1.4
316,19,22:32,0.1
317,19,04:02,1.3
318,20,10:34,0.2
319,20,16:08,1.4
320,20,23:15,0.2
321,21,04:28,1.2
322,21,11:11,0.3
323,21,16:47,1.3
324,21,00:08,0.4
325,22,04:58,1.1
326,22,11:58,0.4
327,22,17:21,1.2
328,23,01:13,0.5
329,23,13:09,0.4
330,23,18:06,0.1
331,23,22:02,0.8
332,23,23:08,0.8
333,23,02:39,0.6
334,24,06:02,0.9
335,24,10:09,0.5
336,24,14:39,0.4
337,24,19:06,0.9
338,24,21:43,0.8
339,25,00:15,0.0
340,25,06:53,0.8
341,25,12:28,0.7
342,25,16:00,0.4
343,25,01:00,0.1
344,26,05:24,0.6
345,26,08:11,0.7
346,26,12:54,0.8
347,26,17:15,0.3
348,27,01:36,1.2
349,27,06:30,0.5
350,27,12:58,0.9
351,27,18:21,0.2
352,27,01:56,1.2
353,28,07:15,0.5
354,28,12:53,1.0
355,28,19:13,0.1
356,29,02:00,1.2
357,29,07:56,0.4
358,29,13:09,1.2
359,29,20:00,0.0
360,29,02:00,1.2
361,30,08:30,0.3
362,30,13:39,1.3
363,30,20:41,0.0
364,31,02:13,1.3
365,31,09:00,0.3
366,31,14:11,1.4
367,31,21:17,0.0
368,01,02:41,1.3
369,01,09:30,0.3
370,01,14:49,1.4
371,01,21:51,0.1
372,01,03:06,1.3
373,02,09:51,0.3
374,02,15:19,1.5
375,02,22:19,0.2
376,03,03:38,1.3
377,03,09:58,0.3
378,03,15:56,1.4
379,03,22:39,0.3
380,03,04:02,1.2
381,04,09:45,0.3
382,04,16:30,1.3
383,04,22:39,0.4
384,05,04:34,1.2
385,05,09:51,0.3
386,05,17:04,1.2
387,05,22:21,0.6
388,05,05:00,1.1
389,06,10:06,0.4
390,06,17:43,1.1
391,06,22:13,0.6
392,07,05:26,1.0
393,07,10:23,0.4
394,07,18:23,1.0
395,07,22:09,0.7
396,07,00:45,0.8
397,08,02:36,0.8
398,08,06:00,0.9
399,08,13:02,0.6
400,08,14:39,0.5
401,08,19:26,0.9
402,09,00:45,0.9
403,09,06:54,0.8
404,09,12:39,0.6
405,09,16:08,0.5
406,09,00:49,1.0
407,10,05:17,0.7
408,10,08:43,0.8
409,10,10:58,0.7
410,10,17:15,0.4
411,11,00:54,1.0
412,11,06:08,0.6
413,11,12:09,0.9
414,11,18:08,0.3
415,11,01:04,1.1
416,12,06:47,0.5
417,12,12:36,1.0
418,12,18:53,0.2
419,13,01:23,1.2
420,13,07:17,0.4
421,13,13:06,1.2
422,13,19:32,0.1
423,13,01:47,1.3
424,14,07:53,0.3
425,14,13:38,1.3
426,14,20:09,0.1
427,15,02:11,1.3
428,15,08:24,0.2
429,15,14:09,1.4
430,15,20:53,0.0
431,15,02:39,1.3
432,16,08:58,0.2
433,16,14:45,1.4
434,16,21:34,0.1
435,17,03:04,1.3
436,17,09:36,0.1
437,17,15:17,1.4
438,17,22:17,0.2
439,17,03:32,1.2
440,18,10:15,0.2
441,18,15:54,1.4
442,18,23:08,0.3
443,19,04:00,1.1
444,19,11:02,0.2
445,19,16:32,1.3
446,19,00:06,0.5
447,20,04:28,1.1
448,20,11:58,0.3
449,20,17:11,1.2
450,21,01:13,0.6
451,21,13:08,0.3
452,21,18:02,0.0
453,21,21:04,0.9
454,21,22:58,0.9
455,21,02:34,0.7
456,22,05:45,0.9
457,22,10:02,0.5
458,22,14:28,0.4
459,22,19:09,0.9
460,22,20:58,0.9
461,22,23:58,0.0
462,23,03:54,0.7
463,23,06:39,0.8
464,23,10:09,0.6
465,23,11:54,0.6
466,23,15:49,0.3
467,23,00:43,0.1
468,24,05:04,0.6
469,24,08:09,0.8
470,24,12:11,0.8
471,24,16:58,0.3
472,25,01:11,1.1
473,25,06:00,0.6
474,25,11:45,0.9
475,25,17:58,0.2
476,25,01:23,1.1
477,26,06:47,0.5
478,26,12:02,1.0
479,26,18:51,0.2
480,27,01:06,1.1
481,27,07:21,0.4
482,27,12:34,1.2
483,27,19:34,0.1
484,27,01:09,1.2
485,28,07:56,0.3
486,28,13:08,1.3
487,28,20:11,0.1
488,29,01:34,1.2
489,29,08:26,0.3
490,29,13:49,1.4
491,29,20:49,0.2
492,29,02:02,1.3
493,30,08:53,0.2
494,30,14:21,1.4
495,30,21:19,0.2
496,01,02:32,1.3
497,01,09:17,0.2
498,01,15:00,1.4
499,01,21:47,0.3
500,01,03:02,1.3
501,02,09:34,0.2
502,02,15:36,1.3
503,02,22:15,0.4
504,03,03:34,1.2
505,03,09:45,0.2
506,03,16:09,1.3
507,03,22:36,0.5
508,03,04:02,1.2
509,04,10:08,0.3
510,04,16:49,1.2
511,04,23:19,0.6
512,05,04:34,1.1
513,05,10:17,0.4
514,05,17:24,1.1
515,05,00:39,0.7
516,06,05:04,1.0
517,06,10:32,0.4
518,06,22:08,0.8
519,06,23:19,0.8
520,06,02:04,0.7
521,07,05:47,0.9
522,07,14:02,0.5
523,07,22:00,0.8
524,07,23:41,0.9
525,07,03:21,0.7
526,08,06:41,0.9
527,08,15:21,0.5
528,08,23:49,0.9
529,09,04:24,0.7
530,09,08:06,0.8
531,09,16:26,0.4
532,09,00:00,1.0
533,10,05:15,0.6
534,10,10:39,0.9
535,10,17:23,0.3
536,11,00:19,1.1
537,11,06:00,0.5
538,11,11:49,1.0
539,11,18:11,0.2
540,11,00:43,1.2
541,12,06:39,0.4
542,12,12:30,1.2
543,12,19:00,0.2
544,13,01:09,1.2
545,13,07:15,0.3
546,13,13:09,1.3
547,13,19:47,0.1
548,13,01:39,1.2
549,14,07:56,0.2
550,14,13:51,1.4
551,14,20:32,0.1
552,15,02:06,1.2
553,15,08:38,0.1
554,15,14:26,1.4
555,15,21:19,0.2
556,15,02:38,1.2
557,16,09:21,0.1
558,16,15:06,1.4
559,16,22:09,0.3
560,17,03:06,1.2
561,17,10:08,0.1
562,17,15:49,1.3
563,17,23:04,0.4
564,17,03:39,1.1
565,18,11:00,0.1
566,18,16:30,1.3
567,19,00:02,0.5
568,19,04:09,1.1
569,19,11:58,0.2
570,19,17:15,1.1
571,19,01:06,0.6
572,20,04:54,0.0
573,20,13:02,0.2
574,20,20:49,0.9
575,20,22:21,0.0
576,21,02:13,0.7
577,21,14:11,0.3
578,21,19:17,0.9
579,21,20:51,0.9
580,21,23:28,0.0
581,21,03:21,0.7
582,22,06:39,0.9
583,22,15:21,0.3
584,23,00:11,1.0
585,23,04:24,0.6
586,23,08:00,0.9
587,23,16:26,0.3
588,23,00:45,1.0
589,24,05:19,0.6
590,24,09:47,0.9
591,24,17:26,0.3
592,25,00:11,1.0
593,25,06:04,0.5
594,25,11:04,1.0
595,25,18:17,0.3
596,25,23:53,1.0
597,25,06:47,0.4
598,26,11:58,1.1
599,26,19:02,0.3
600,27,00:19,1.1
601,27,07:19,0.3
602,27,12:43,1.2
603,27,19:45,0.3
604,27,00:54,1.1
605,28,07:54,0.3
606,28,13:23,1.3
607,28,20:19,0.3
608,29,01:26,1.2
609,29,08:24,0.2
610,29,14:02,1.3
611,29,20:53,0.4
612,29,02:02,1.2
613,30,08:56,0.2
